instance,n_nodes,n_runs,rt_mean_s,rt_std_s,rt_min_s,rt_max_s
AP10,10,20,1.41,0.05,1.35,1.62
AP20,20,20,1.63,0.07,1.56,1.88
AP25,25,20,1.88,0.11,1.76,2.12
AP40,40,20,2.45,0.18,2.22,2.90
AP50,50,20,2.88,0.19,2.62,3.46
TR81,81,20,1.47,0.14,1.22,1.76
cv_small,?,1,2.22,0.00,2.22,2.22
AP100,100,20,6.05,0.52,5.16,7.00
