tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.98_pm0.45_0.10_rw1.5_8,180,260,20,0.98,0.45,0.10,1.5,8,0.231379,0.590222,0.686,0.658
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.0_3,180,260,20,0.98,0.45,0.10,2.0,3,0.558861,0.349886,0.750,0.719
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.0_5,180,260,20,0.98,0.45,0.10,2.0,5,0.703396,0.222480,0.760,0.721
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.0_8,180,260,20,0.98,0.45,0.10,2.0,8,0.368241,0.464673,0.647,0.627
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.5_3,180,260,20,0.98,0.45,0.10,2.5,3,0.193907,0.676178,0.640,0.626
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.5_5,180,260,20,0.98,0.45,0.10,2.5,5,0.267706,0.574979,0.665,0.631
aega_180_260_20_pc0.98_pm0.45_0.10_rw2.5_8,180,260,20,0.98,0.45,0.10,2.5,8,0.702317,0.222736,0.681,0.667
aega_180_260_20_pc0.98_pm0.45_0.10_rw3.0_3,180,260,20,0.98,0.45,0.10,3.0,3,0.702337,0.222720,0.694,0.678
aega_180_260_20_pc0.98_pm0.45_0.10_rw3.0_5,180,260,20,0.98,0.45,0.10,3.0,5,0.563827,0.347375,0.710,0.675
aega_180_260_20_pc0.98_pm0.45_0.10_rw3.0_8,180,260,20,0.98,0.45,0.10,3.0,8,0.703183,0.222314,0.695,0.686
aega_180_260_20_pc0.98_pm0.50_0.08_rw1.5_3,180,260,20,0.98,0.50,0.08,1.5,3,0.555025,0.355706,0.701,0.686
aega_180_260_20_pc0.98_pm0.50_0.08_rw1.5_5,180,260,20,0.98,0.50,0.08,1.5,5,0.378996,0.454142,0.650,0.645
aega_180_260_20_pc0.98_pm0.50_0.08_rw1.5_8,180,260,20,0.98,0.50,0.08,1.5,8,0.703163,0.222567,0.675,0.664
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.0_3,180,260,20,0.98,0.50,0.08,2.0,3,0.260667,0.583896,0.633,0.620
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.0_5,180,260,20,0.98,0.50,0.08,2.0,5,0.702384,0.222697,0.665,0.662
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.0_8,180,260,20,0.98,0.50,0.08,2.0,8,0.563210,0.348426,0.680,0.664
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.5_3,180,260,20,0.98,0.50,0.08,2.5,3,0.556909,0.355416,0.634,0.630
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.5_5,180,260,20,0.98,0.50,0.08,2.5,5,0.702642,0.222721,0.653,0.649
aega_180_260_20_pc0.98_pm0.50_0.08_rw2.5_8,180,260,20,0.98,0.50,0.08,2.5,8,0.563170,0.347556,0.686,0.666
aega_180_260_20_pc0.98_pm0.50_0.08_rw3.0_3,180,260,20,0.98,0.50,0.08,3.0,3,0.557950,0.351830,0.729,0.701
aega_180_260_20_pc0.98_pm0.50_0.08_rw3.0_5,180,260,20,0.98,0.50,0.08,3.0,5,0.552451,0.359704,0.680,0.668
aega_180_260_20_pc0.98_pm0.50_0.08_rw3.0_8,180,260,20,0.98,0.50,0.08,3.0,8,0.699877,0.224718,0.667,0.662
aega_180_260_20_pc0.98_pm0.50_0.10_rw1.5_3,180,260,20,0.98,0.50,0.10,1.5,3,0.268887,0.572469,0.602,0.599
aega_180_260_20_pc0.98_pm0.50_0.10_rw1.5_5,180,260,20,0.98,0.50,0.10,1.5,5,0.703332,0.222603,0.723,0.686
aega_180_260_20_pc0.98_pm0.50_0.10_rw1.5_8,180,260,20,0.98,0.50,0.10,1.5,8,0.702170,0.223096,0.666,0.662
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.0_3,180,260,20,0.98,0.50,0.10,2.0,3,0.700715,0.223825,0.694,0.677
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.0_5,180,260,20,0.98,0.50,0.10,2.0,5,0.700640,0.223449,0.676,0.671
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.0_8,180,260,20,0.98,0.50,0.10,2.0,8,0.702934,0.223065,0.640,0.637
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.5_3,180,260,20,0.98,0.50,0.10,2.5,3,0.560437,0.349041,0.700,0.684
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.5_5,180,260,20,0.98,0.50,0.10,2.5,5,0.613792,0.257660,0.701,0.692
aega_180_260_20_pc0.98_pm0.50_0.10_rw2.5_8,180,260,20,0.98,0.50,0.10,2.5,8,0.702335,0.222717,0.990,0.797
aega_180_260_20_pc0.98_pm0.50_0.10_rw3.0_3,180,260,20,0.98,0.50,0.10,3.0,3,0.508801,0.360522,0.746,0.708
aega_180_260_20_pc0.98_pm0.50_0.10_rw3.0_5,180,260,20,0.98,0.50,0.10,3.0,5,0.702700,0.222954,0.955,0.777
aega_180_260_20_pc0.98_pm0.50_0.10_rw3.0_8,180,260,20,0.98,0.50,0.10,3.0,8,0.564650,0.346962,0.788,0.738
aega_180_280_20_pc0.90_pm0.40_0.08_rw1.5_3,180,280,20,0.90,0.40,0.08,1.5,3,0.305908,0.509960,0.688,0.659
aega_180_280_20_pc0.90_pm0.40_0.08_rw1.5_5,180,280,20,0.90,0.40,0.08,1.5,5,0.239091,0.632391,0.635,0.606
aega_180_280_20_pc0.90_pm0.40_0.08_rw1.5_8,180,280,20,0.90,0.40,0.08,1.5,8,0.000000,1.155243,0.594,0.590
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.0_3,180,280,20,0.90,0.40,0.08,2.0,3,0.270236,0.526663,0.632,0.624
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.0_5,180,280,20,0.90,0.40,0.08,2.0,5,0.703033,0.222842,0.629,0.626
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.0_8,180,280,20,0.90,0.40,0.08,2.0,8,0.554989,0.356157,0.644,0.637
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.5_3,180,280,20,0.90,0.40,0.08,2.5,3,0.703277,0.222436,0.675,0.649
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.5_5,180,280,20,0.90,0.40,0.08,2.5,5,0.365765,0.471653,0.646,0.642
aega_180_280_20_pc0.90_pm0.40_0.08_rw2.5_8,180,280,20,0.90,0.40,0.08,2.5,8,0.218902,0.626113,0.587,0.583
aega_180_280_20_pc0.90_pm0.40_0.08_rw3.0_3,180,280,20,0.90,0.40,0.08,3.0,3,0.240777,0.609587,1.358,0.894
aega_180_280_20_pc0.90_pm0.40_0.08_rw3.0_5,180,280,20,0.90,0.40,0.08,3.0,5,0.556995,0.354411,0.645,0.639
aega_180_280_20_pc0.90_pm0.40_0.08_rw3.0_8,180,280,20,0.90,0.40,0.08,3.0,8,0.702829,0.223206,0.702,0.668
aega_180_280_20_pc0.90_pm0.40_0.10_rw1.5_3,180,280,20,0.90,0.40,0.10,1.5,3,0.528101,0.315454,0.701,0.663
aega_180_280_20_pc0.90_pm0.40_0.10_rw1.5_5,180,280,20,0.90,0.40,0.10,1.5,5,0.078367,0.663043,0.600,0.597
aega_180_280_20_pc0.90_pm0.40_0.10_rw1.5_8,180,280,20,0.90,0.40,0.10,1.5,8,0.559187,0.353109,0.641,0.638
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.0_3,180,280,20,0.90,0.40,0.10,2.0,3,0.494661,0.376419,0.658,0.650
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.0_5,180,280,20,0.90,0.40,0.10,2.0,5,0.702881,0.222411,0.662,0.647
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.0_8,180,280,20,0.90,0.40,0.10,2.0,8,0.676442,0.233897,0.653,0.650
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.5_3,180,280,20,0.90,0.40,0.10,2.5,3,0.703442,0.222384,0.653,0.644
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.5_5,180,280,20,0.90,0.40,0.10,2.5,5,0.326023,0.493039,0.629,0.614
aega_180_280_20_pc0.90_pm0.40_0.10_rw2.5_8,180,280,20,0.90,0.40,0.10,2.5,8,0.225145,0.644334,0.619,0.601
aega_180_280_20_pc0.90_pm0.40_0.10_rw3.0_3,180,280,20,0.90,0.40,0.10,3.0,3,0.211084,0.635425,0.625,0.592
aega_180_280_20_pc0.90_pm0.40_0.10_rw3.0_5,180,280,20,0.90,0.40,0.10,3.0,5,0.563814,0.346973,0.623,0.620
aega_180_280_20_pc0.90_pm0.40_0.10_rw3.0_8,180,280,20,0.90,0.40,0.10,3.0,8,0.702505,0.222598,0.643,0.639
aega_180_280_20_pc0.90_pm0.45_0.08_rw1.5_3,180,280,20,0.90,0.45,0.08,1.5,3,0.267202,0.577835,0.614,0.597
aega_180_280_20_pc0.90_pm0.45_0.08_rw1.5_5,180,280,20,0.90,0.45,0.08,1.5,5,0.560511,0.350326,0.692,0.675
aega_180_280_20_pc0.90_pm0.45_0.08_rw1.5_8,180,280,20,0.90,0.45,0.08,1.5,8,0.559685,0.349504,0.839,0.735
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.0_3,180,280,20,0.90,0.45,0.08,2.0,3,0.702816,0.222793,0.995,0.786
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.0_5,180,280,20,0.90,0.45,0.08,2.0,5,0.617098,0.255568,0.680,0.674
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.0_8,180,280,20,0.90,0.45,0.08,2.0,8,0.501111,0.372918,0.692,0.665
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.5_3,180,280,20,0.90,0.45,0.08,2.5,3,0.166059,0.695322,0.904,0.703
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.5_5,180,280,20,0.90,0.45,0.08,2.5,5,0.391220,0.471649,0.846,0.727
aega_180_280_20_pc0.90_pm0.45_0.08_rw2.5_8,180,280,20,0.90,0.45,0.08,2.5,8,0.690194,0.224049,0.660,0.648
aega_180_280_20_pc0.90_pm0.45_0.08_rw3.0_3,180,280,20,0.90,0.45,0.08,3.0,3,0.564414,0.347307,0.665,0.656
aega_180_280_20_pc0.90_pm0.45_0.08_rw3.0_5,180,280,20,0.90,0.45,0.08,3.0,5,0.588921,0.304870,1.017,0.811
aega_180_280_20_pc0.90_pm0.45_0.08_rw3.0_8,180,280,20,0.90,0.45,0.08,3.0,8,0.191465,0.660772,0.619,0.604
aega_180_280_20_pc0.90_pm0.45_0.10_rw1.5_3,180,280,20,0.90,0.45,0.10,1.5,3,0.376982,0.492320,0.685,0.661
aega_180_280_20_pc0.90_pm0.45_0.10_rw1.5_5,180,280,20,0.90,0.45,0.10,1.5,5,0.206223,0.641410,0.629,0.617
aega_180_280_20_pc0.90_pm0.45_0.10_rw1.5_8,180,280,20,0.90,0.45,0.10,1.5,8,0.560501,0.349917,0.708,0.687
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.0_3,180,280,20,0.90,0.45,0.10,2.0,3,0.702517,0.222485,0.769,0.690
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.0_5,180,280,20,0.90,0.45,0.10,2.0,5,0.173874,0.710953,0.653,0.627
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.0_8,180,280,20,0.90,0.45,0.10,2.0,8,0.557291,0.351808,0.749,0.704
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.5_3,180,280,20,0.90,0.45,0.10,2.5,3,0.557292,0.351810,0.680,0.667
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.5_5,180,280,20,0.90,0.45,0.10,2.5,5,0.705103,0.221522,0.726,0.679
aega_180_280_20_pc0.90_pm0.45_0.10_rw2.5_8,180,280,20,0.90,0.45,0.10,2.5,8,0.700079,0.223876,0.746,0.695
aega_180_280_20_pc0.90_pm0.45_0.10_rw3.0_3,180,280,20,0.90,0.45,0.10,3.0,3,0.703093,0.222857,0.835,0.739
aega_180_280_20_pc0.90_pm0.45_0.10_rw3.0_5,180,280,20,0.90,0.45,0.10,3.0,5,0.564123,0.347636,0.659,0.654
aega_180_280_20_pc0.90_pm0.45_0.10_rw3.0_8,180,280,20,0.90,0.45,0.10,3.0,8,0.305069,0.526981,0.594,0.590
aega_180_280_20_pc0.90_pm0.50_0.08_rw1.5_3,180,280,20,0.90,0.50,0.08,1.5,3,0.234873,0.620497,0.636,0.613
aega_180_280_20_pc0.90_pm0.50_0.08_rw1.5_5,180,280,20,0.90,0.50,0.08,1.5,5,0.244754,0.625723,0.588,0.585
aega_180_280_20_pc0.90_pm0.50_0.08_rw1.5_8,180,280,20,0.90,0.50,0.08,1.5,8,0.123530,0.755945,0.767,0.657
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.0_3,180,280,20,0.90,0.50,0.08,2.0,3,0.457477,0.366400,0.719,0.674
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.0_5,180,280,20,0.90,0.50,0.08,2.0,5,0.729702,0.206312,0.728,0.701
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.0_8,180,280,20,0.90,0.50,0.08,2.0,8,0.215691,0.627999,0.830,0.693
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.5_3,180,280,20,0.90,0.50,0.08,2.5,3,0.391104,0.471843,0.748,0.722
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.5_5,180,280,20,0.90,0.50,0.08,2.5,5,0.275019,0.566769,0.631,0.614
aega_180_280_20_pc0.90_pm0.50_0.08_rw2.5_8,180,280,20,0.90,0.50,0.08,2.5,8,0.365797,0.471643,0.657,0.642
aega_180_280_20_pc0.90_pm0.50_0.08_rw3.0_3,180,280,20,0.90,0.50,0.08,3.0,3,0.779470,0.220569,0.613,0.607
aega_180_280_20_pc0.90_pm0.50_0.08_rw3.0_5,180,280,20,0.90,0.50,0.08,3.0,5,0.702252,0.222875,0.651,0.649
aega_180_280_20_pc0.90_pm0.50_0.08_rw3.0_8,180,280,20,0.90,0.50,0.08,3.0,8,0.364446,0.472478,0.667,0.652
aega_180_280_20_pc0.90_pm0.50_0.10_rw1.5_3,180,280,20,0.90,0.50,0.10,1.5,3,0.698647,0.225557,0.678,0.672
aega_180_280_20_pc0.90_pm0.50_0.10_rw1.5_5,180,280,20,0.90,0.50,0.10,1.5,5,0.702116,0.222830,0.635,0.631
aega_180_280_20_pc0.90_pm0.50_0.10_rw1.5_8,180,280,20,0.90,0.50,0.10,1.5,8,0.221644,0.620521,0.613,0.600
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.0_3,180,280,20,0.90,0.50,0.10,2.0,3,0.499223,0.324274,0.656,0.653
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.0_5,180,280,20,0.90,0.50,0.10,2.0,5,0.286882,0.552770,0.592,0.589
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.0_8,180,280,20,0.90,0.50,0.10,2.0,8,0.326506,0.528060,0.622,0.606
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.5_3,180,280,20,0.90,0.50,0.10,2.5,3,0.703161,0.222806,0.647,0.643
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.5_5,180,280,20,0.90,0.50,0.10,2.5,5,0.700748,0.223885,0.673,0.651
aega_180_280_20_pc0.90_pm0.50_0.10_rw2.5_8,180,280,20,0.90,0.50,0.10,2.5,8,0.702939,0.222525,0.641,0.637
aega_180_280_20_pc0.90_pm0.50_0.10_rw3.0_3,180,280,20,0.90,0.50,0.10,3.0,3,0.497225,0.375288,0.656,0.650
aega_180_280_20_pc0.90_pm0.50_0.10_rw3.0_5,180,280,20,0.90,0.50,0.10,3.0,5,0.141792,0.699002,0.633,0.619
aega_180_280_20_pc0.90_pm0.50_0.10_rw3.0_8,180,280,20,0.90,0.50,0.10,3.0,8,0.730065,0.206227,0.636,0.633
aega_180_280_20_pc0.95_pm0.40_0.08_rw1.5_3,180,280,20,0.95,0.40,0.08,1.5,3,0.558244,0.351818,0.632,0.629
aega_180_280_20_pc0.95_pm0.40_0.08_rw1.5_5,180,280,20,0.95,0.40,0.08,1.5,5,0.377026,0.456016,0.663,0.648
aega_180_280_20_pc0.95_pm0.40_0.08_rw1.5_8,180,280,20,0.95,0.40,0.08,1.5,8,0.702390,0.222538,0.645,0.641
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.0_3,180,280,20,0.95,0.40,0.08,2.0,3,0.227289,0.553419,0.663,0.641
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.0_5,180,280,20,0.95,0.40,0.08,2.0,5,0.721389,0.209432,0.635,0.632
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.0_8,180,280,20,0.95,0.40,0.08,2.0,8,0.435178,0.407932,0.596,0.593
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.5_3,180,280,20,0.95,0.40,0.08,2.5,3,0.702750,0.222674,0.675,0.659
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.5_5,180,280,20,0.95,0.40,0.08,2.5,5,0.703301,0.222711,0.636,0.632
aega_180_280_20_pc0.95_pm0.40_0.08_rw2.5_8,180,280,20,0.95,0.40,0.08,2.5,8,0.000000,1.339405,0.593,0.590
aega_180_280_20_pc0.95_pm0.40_0.08_rw3.0_3,180,280,20,0.95,0.40,0.08,3.0,3,0.276086,0.546624,0.610,0.596
aega_180_280_20_pc0.95_pm0.40_0.08_rw3.0_5,180,280,20,0.95,0.40,0.08,3.0,5,0.562040,0.349290,0.673,0.663
aega_180_280_20_pc0.95_pm0.40_0.08_rw3.0_8,180,280,20,0.95,0.40,0.08,3.0,8,0.563140,0.348808,0.737,0.695
aega_180_280_20_pc0.95_pm0.40_0.10_rw1.5_3,180,280,20,0.95,0.40,0.10,1.5,3,0.721930,0.209610,0.649,0.642
aega_180_280_20_pc0.95_pm0.40_0.10_rw1.5_5,180,280,20,0.95,0.40,0.10,1.5,5,0.381359,0.459349,0.643,0.637
aega_180_280_20_pc0.95_pm0.40_0.10_rw1.5_8,180,280,20,0.95,0.40,0.10,1.5,8,0.560477,0.350115,0.688,0.661
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.0_3,180,280,20,0.95,0.40,0.10,2.0,3,0.221072,0.625694,0.614,0.608
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.0_5,180,280,20,0.95,0.40,0.10,2.0,5,0.562981,0.347556,0.641,0.637
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.0_8,180,280,20,0.95,0.40,0.10,2.0,8,0.325497,0.525046,0.702,0.647
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.5_3,180,280,20,0.95,0.40,0.10,2.5,3,0.730301,0.205686,0.639,0.635
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.5_5,180,280,20,0.95,0.40,0.10,2.5,5,0.703324,0.222389,0.660,0.656
aega_180_280_20_pc0.95_pm0.40_0.10_rw2.5_8,180,280,20,0.95,0.40,0.10,2.5,8,0.076386,0.698761,0.749,0.661
aega_180_280_20_pc0.95_pm0.40_0.10_rw3.0_3,180,280,20,0.95,0.40,0.10,3.0,3,0.000000,1.171145,0.609,0.603
aega_180_280_20_pc0.95_pm0.40_0.10_rw3.0_5,180,280,20,0.95,0.40,0.10,3.0,5,0.444640,0.398031,0.690,0.660
aega_180_280_20_pc0.95_pm0.40_0.10_rw3.0_8,180,280,20,0.95,0.40,0.10,3.0,8,0.277040,0.562693,0.616,0.601
aega_180_280_20_pc0.95_pm0.45_0.08_rw1.5_3,180,280,20,0.95,0.45,0.08,1.5,3,0.702114,0.223791,0.699,0.672
aega_180_280_20_pc0.95_pm0.45_0.08_rw1.5_5,180,280,20,0.95,0.45,0.08,1.5,5,0.269664,0.528923,0.702,0.668
aega_180_280_20_pc0.95_pm0.45_0.08_rw1.5_8,180,280,20,0.95,0.45,0.08,1.5,8,0.561182,0.349392,0.656,0.652
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.0_3,180,280,20,0.95,0.45,0.08,2.0,3,0.417315,0.418533,0.589,0.586
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.0_5,180,280,20,0.95,0.45,0.08,2.0,5,0.558588,0.355785,0.674,0.659
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.0_8,180,280,20,0.95,0.45,0.08,2.0,8,0.561611,0.349171,0.778,0.701
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.5_3,180,280,20,0.95,0.45,0.08,2.5,3,0.275750,0.531278,0.676,0.646
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.5_5,180,280,20,0.95,0.45,0.08,2.5,5,0.157348,0.704366,0.640,0.620
aega_180_280_20_pc0.95_pm0.45_0.08_rw2.5_8,180,280,20,0.95,0.45,0.08,2.5,8,0.699009,0.224445,0.674,0.667
aega_180_280_20_pc0.95_pm0.45_0.08_rw3.0_3,180,280,20,0.95,0.45,0.08,3.0,3,0.563943,0.347472,0.683,0.662
aega_180_280_20_pc0.95_pm0.45_0.08_rw3.0_5,180,280,20,0.95,0.45,0.08,3.0,5,0.702425,0.222620,0.647,0.641
aega_180_280_20_pc0.95_pm0.45_0.08_rw3.0_8,180,280,20,0.95,0.45,0.08,3.0,8,0.561897,0.349662,0.646,0.641
aega_180_280_20_pc0.95_pm0.45_0.10_rw1.5_3,180,280,20,0.95,0.45,0.10,1.5,3,0.520678,0.306046,0.711,0.689
aega_180_280_20_pc0.95_pm0.45_0.10_rw1.5_5,180,280,20,0.95,0.45,0.10,1.5,5,0.702720,0.222946,0.699,0.682
aega_180_280_20_pc0.95_pm0.45_0.10_rw1.5_8,180,280,20,0.95,0.45,0.10,1.5,8,0.443854,0.401784,0.972,0.811
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.0_3,180,280,20,0.95,0.45,0.10,2.0,3,0.373686,0.457772,0.814,0.740
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.0_5,180,280,20,0.95,0.45,0.10,2.0,5,0.781291,0.128622,0.664,0.659
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.0_8,180,280,20,0.95,0.45,0.10,2.0,8,0.563288,0.347245,0.902,0.764
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.5_3,180,280,20,0.95,0.45,0.10,2.5,3,0.561172,0.349086,0.666,0.661
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.5_5,180,280,20,0.95,0.45,0.10,2.5,5,0.561697,0.349147,0.711,0.684
aega_180_280_20_pc0.95_pm0.45_0.10_rw2.5_8,180,280,20,0.95,0.45,0.10,2.5,8,0.559549,0.351268,0.884,0.737
aega_180_280_20_pc0.95_pm0.45_0.10_rw3.0_3,180,280,20,0.95,0.45,0.10,3.0,3,0.702609,0.222892,0.673,0.666
aega_180_280_20_pc0.95_pm0.45_0.10_rw3.0_5,180,280,20,0.95,0.45,0.10,3.0,5,0.702493,0.222942,0.682,0.666
aega_180_280_20_pc0.95_pm0.45_0.10_rw3.0_8,180,280,20,0.95,0.45,0.10,3.0,8,0.702163,0.223099,0.664,0.658
aega_180_280_20_pc0.95_pm0.50_0.08_rw1.5_3,180,280,20,0.95,0.50,0.08,1.5,3,0.556452,0.356540,0.807,0.740
aega_180_280_20_pc0.95_pm0.50_0.08_rw1.5_5,180,280,20,0.95,0.50,0.08,1.5,5,0.702814,0.222689,0.658,0.654
aega_180_280_20_pc0.95_pm0.50_0.08_rw1.5_8,180,280,20,0.95,0.50,0.08,1.5,8,0.677426,0.232732,0.676,0.670
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.0_3,180,280,20,0.95,0.50,0.08,2.0,3,0.702974,0.222721,0.744,0.704
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.0_5,180,280,20,0.95,0.50,0.08,2.0,5,0.703368,0.222521,0.755,0.709
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.0_8,180,280,20,0.95,0.50,0.08,2.0,8,0.343356,0.490745,0.715,0.614
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.5_3,180,280,20,0.95,0.50,0.08,2.5,3,0.327606,0.497593,0.632,0.619
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.5_5,180,280,20,0.95,0.50,0.08,2.5,5,0.702884,0.222699,0.700,0.689
aega_180_280_20_pc0.95_pm0.50_0.08_rw2.5_8,180,280,20,0.95,0.50,0.08,2.5,8,0.702010,0.223820,0.819,0.720
aega_180_280_20_pc0.95_pm0.50_0.08_rw3.0_3,180,280,20,0.95,0.50,0.08,3.0,3,0.561115,0.349183,0.661,0.655
aega_180_280_20_pc0.95_pm0.50_0.08_rw3.0_5,180,280,20,0.95,0.50,0.08,3.0,5,0.721526,0.209607,0.784,0.668
aega_180_280_20_pc0.95_pm0.50_0.08_rw3.0_8,180,280,20,0.95,0.50,0.08,3.0,8,0.702685,0.222710,0.658,0.653
aega_180_280_20_pc0.95_pm0.50_0.10_rw1.5_3,180,280,20,0.95,0.50,0.10,1.5,3,0.560708,0.349872,0.654,0.650
aega_180_280_20_pc0.95_pm0.50_0.10_rw1.5_5,180,280,20,0.95,0.50,0.10,1.5,5,0.702916,0.222506,0.692,0.672
aega_180_280_20_pc0.95_pm0.50_0.10_rw1.5_8,180,280,20,0.95,0.50,0.10,1.5,8,0.444024,0.397693,0.605,0.600
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.0_3,180,280,20,0.95,0.50,0.10,2.0,3,0.275465,0.568400,0.614,0.606
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.0_5,180,280,20,0.95,0.50,0.10,2.0,5,0.721879,0.209144,0.695,0.675
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.0_8,180,280,20,0.95,0.50,0.10,2.0,8,0.443871,0.398161,0.622,0.614
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.5_3,180,280,20,0.95,0.50,0.10,2.5,3,0.699823,0.224997,0.830,0.738
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.5_5,180,280,20,0.95,0.50,0.10,2.5,5,0.559644,0.351216,0.657,0.648
aega_180_280_20_pc0.95_pm0.50_0.10_rw2.5_8,180,280,20,0.95,0.50,0.10,2.5,8,0.557489,0.355264,0.642,0.638
aega_180_280_20_pc0.95_pm0.50_0.10_rw3.0_3,180,280,20,0.95,0.50,0.10,3.0,3,0.721327,0.209190,0.690,0.669
aega_180_280_20_pc0.95_pm0.50_0.10_rw3.0_5,180,280,20,0.95,0.50,0.10,3.0,5,0.702897,0.222489,0.927,0.785
aega_180_280_20_pc0.95_pm0.50_0.10_rw3.0_8,180,280,20,0.95,0.50,0.10,3.0,8,0.702352,0.223222,0.863,0.779
aega_180_280_20_pc0.98_pm0.40_0.08_rw1.5_3,180,280,20,0.98,0.40,0.08,1.5,3,0.730849,0.205781,0.939,0.810
aega_180_280_20_pc0.98_pm0.40_0.08_rw1.5_5,180,280,20,0.98,0.40,0.08,1.5,5,0.703392,0.222953,0.809,0.740
aega_180_280_20_pc0.98_pm0.40_0.08_rw1.5_8,180,280,20,0.98,0.40,0.08,1.5,8,0.564203,0.346966,0.998,0.810
aega_180_280_20_pc0.98_pm0.40_0.08_rw2.0_3,180,280,20,0.98,0.40,0.08,2.0,3,0.702768,0.222607,0.971,0.844
aega_180_280_20_pc0.98_pm0.40_0.08_rw2.0_5,180,280,20,0.98,0.40,0.08,2.0,5,0.559642,0.353044,0.843,0.784
aega_180_280_20_pc0.98_pm0.40_0.08_rw2.0_8,180,280,20,0.98,0.40,0.08,2.0,8,0.559707,0.349973,1.335,1.046
aega_180_280_20_pc0.98_pm0.40_0.08_rw2.5_3,180,280,20,0.98,0.40,0.08,2.5,3,0.184965,0.670274,0.868,0.735
