tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.0_8,180,260,20,0.90,0.45,0.10,2.0,8,0.557291,0.351808,1.405,1.062
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_3,180,260,20,0.90,0.45,0.10,2.5,3,0.557292,0.351810,1.564,1.071
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_5,180,260,20,0.90,0.45,0.10,2.5,5,0.705103,0.221522,1.389,0.972
aega_180_260_20_pc0.90_pm0.45_0.10_rw2.5_8,180,260,20,0.90,0.45,0.10,2.5,8,0.700079,0.223876,1.092,0.918
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_3,180,260,20,0.90,0.45,0.10,3.0,3,0.703093,0.222857,1.847,1.081
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_5,180,260,20,0.90,0.45,0.10,3.0,5,0.564123,0.347636,1.427,1.126
aega_180_260_20_pc0.90_pm0.45_0.10_rw3.0_8,180,260,20,0.90,0.45,0.10,3.0,8,0.305069,0.526981,1.150,0.928
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_3,180,260,20,0.90,0.50,0.08,1.5,3,0.234873,0.620497,1.628,0.968
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_5,180,260,20,0.90,0.50,0.08,1.5,5,0.244754,0.625723,1.658,0.961
aega_180_260_20_pc0.90_pm0.50_0.08_rw1.5_8,180,260,20,0.90,0.50,0.08,1.5,8,0.123530,0.755945,1.271,0.939
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.0_3,180,260,20,0.90,0.50,0.08,2.0,3,0.457477,0.366400,1.513,0.986
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.0_5,180,260,20,0.90,0.50,0.08,2.0,5,0.729702,0.206312,1.258,0.956
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.0_8,180,260,20,0.90,0.50,0.08,2.0,8,0.215691,0.627999,1.065,0.822
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.5_3,180,260,20,0.90,0.50,0.08,2.5,3,0.391104,0.471843,1.245,0.911
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.5_5,180,260,20,0.90,0.50,0.08,2.5,5,0.275019,0.566769,1.025,0.798
aega_180_260_20_pc0.90_pm0.50_0.08_rw2.5_8,180,260,20,0.90,0.50,0.08,2.5,8,0.365797,0.471643,1.001,0.844
aega_180_260_20_pc0.90_pm0.50_0.08_rw3.0_3,180,260,20,0.90,0.50,0.08,3.0,3,0.779470,0.220569,1.188,0.886
aega_180_260_20_pc0.90_pm0.50_0.08_rw3.0_5,180,260,20,0.90,0.50,0.08,3.0,5,0.702252,0.222875,1.259,0.958
aega_180_260_20_pc0.90_pm0.50_0.08_rw3.0_8,180,260,20,0.90,0.50,0.08,3.0,8,0.364446,0.472478,1.210,0.946
aega_180_260_20_pc0.90_pm0.50_0.10_rw1.5_3,180,260,20,0.90,0.50,0.10,1.5,3,0.698647,0.225557,1.232,1.022
aega_180_260_20_pc0.90_pm0.50_0.10_rw1.5_5,180,260,20,0.90,0.50,0.10,1.5,5,0.702116,0.222830,1.195,0.974
aega_180_260_20_pc0.90_pm0.50_0.10_rw1.5_8,180,260,20,0.90,0.50,0.10,1.5,8,0.221644,0.620521,1.174,0.936
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.0_3,180,260,20,0.90,0.50,0.10,2.0,3,0.499223,0.324274,1.333,1.038
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.0_5,180,260,20,0.90,0.50,0.10,2.0,5,0.286882,0.552770,1.094,0.883
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.0_8,180,260,20,0.90,0.50,0.10,2.0,8,0.326506,0.528060,1.065,0.926
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.5_3,180,260,20,0.90,0.50,0.10,2.5,3,0.703161,0.222806,1.066,0.927
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.5_5,180,260,20,0.90,0.50,0.10,2.5,5,0.700748,0.223885,1.205,0.998
aega_180_260_20_pc0.90_pm0.50_0.10_rw2.5_8,180,260,20,0.90,0.50,0.10,2.5,8,0.702939,0.222525,1.148,0.969
aega_180_260_20_pc0.90_pm0.50_0.10_rw3.0_3,180,260,20,0.90,0.50,0.10,3.0,3,0.497225,0.375288,1.199,1.013
aega_180_260_20_pc0.90_pm0.50_0.10_rw3.0_5,180,260,20,0.90,0.50,0.10,3.0,5,0.141792,0.699002,1.246,1.017
aega_180_260_20_pc0.90_pm0.50_0.10_rw3.0_8,180,260,20,0.90,0.50,0.10,3.0,8,0.730065,0.206227,1.572,1.033
aega_180_260_20_pc0.95_pm0.40_0.08_rw1.5_3,180,260,20,0.95,0.40,0.08,1.5,3,0.558244,0.351818,1.331,1.004
aega_180_260_20_pc0.95_pm0.40_0.08_rw1.5_5,180,260,20,0.95,0.40,0.08,1.5,5,0.377026,0.456016,1.298,0.990
aega_180_260_20_pc0.95_pm0.40_0.08_rw1.5_8,180,260,20,0.95,0.40,0.08,1.5,8,0.702390,0.222538,0.941,0.796
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.0_3,180,260,20,0.95,0.40,0.08,2.0,3,0.227289,0.553419,1.563,1.016
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.0_5,180,260,20,0.95,0.40,0.08,2.0,5,0.721389,0.209432,1.718,0.982
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.0_8,180,260,20,0.95,0.40,0.08,2.0,8,0.435178,0.407932,1.515,0.989
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.5_3,180,260,20,0.95,0.40,0.08,2.5,3,0.702750,0.222674,2.175,1.166
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.5_5,180,260,20,0.95,0.40,0.08,2.5,5,0.703301,0.222711,1.543,1.045
aega_180_260_20_pc0.95_pm0.40_0.08_rw2.5_8,180,260,20,0.95,0.40,0.08,2.5,8,0.000000,1.339405,1.223,0.908
aega_180_260_20_pc0.95_pm0.40_0.08_rw3.0_3,180,260,20,0.95,0.40,0.08,3.0,3,0.276086,0.546624,1.321,0.944
aega_180_260_20_pc0.95_pm0.40_0.08_rw3.0_5,180,260,20,0.95,0.40,0.08,3.0,5,0.562040,0.349290,1.538,1.061
aega_180_260_20_pc0.95_pm0.40_0.08_rw3.0_8,180,260,20,0.95,0.40,0.08,3.0,8,0.563140,0.348808,2.068,1.121
aega_180_260_20_pc0.95_pm0.40_0.10_rw1.5_3,180,260,20,0.95,0.40,0.10,1.5,3,0.721930,0.209610,0.941,0.798
aega_180_260_20_pc0.95_pm0.40_0.10_rw1.5_5,180,260,20,0.95,0.40,0.10,1.5,5,0.381359,0.459349,1.338,0.857
aega_180_260_20_pc0.95_pm0.40_0.10_rw1.5_8,180,260,20,0.95,0.40,0.10,1.5,8,0.560477,0.350115,1.061,0.814
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.0_3,180,260,20,0.95,0.40,0.10,2.0,3,0.221072,0.625694,1.004,0.815
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.0_5,180,260,20,0.95,0.40,0.10,2.0,5,0.562981,0.347556,2.136,1.124
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.0_8,180,260,20,0.95,0.40,0.10,2.0,8,0.325497,0.525046,1.302,0.931
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.5_3,180,260,20,0.95,0.40,0.10,2.5,3,0.730301,0.205686,0.888,0.748
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.5_5,180,260,20,0.95,0.40,0.10,2.5,5,0.703324,0.222389,0.885,0.773
aega_180_260_20_pc0.95_pm0.40_0.10_rw2.5_8,180,260,20,0.95,0.40,0.10,2.5,8,0.076386,0.698761,1.143,0.871
aega_180_260_20_pc0.95_pm0.40_0.10_rw3.0_3,180,260,20,0.95,0.40,0.10,3.0,3,0.000000,1.171145,0.780,0.703
aega_180_260_20_pc0.95_pm0.40_0.10_rw3.0_5,180,260,20,0.95,0.40,0.10,3.0,5,0.444640,0.398031,1.184,0.869
aega_180_260_20_pc0.95_pm0.40_0.10_rw3.0_8,180,260,20,0.95,0.40,0.10,3.0,8,0.277040,0.562693,1.044,0.811
aega_180_260_20_pc0.95_pm0.45_0.08_rw1.5_3,180,260,20,0.95,0.45,0.08,1.5,3,0.702114,0.223791,1.041,0.863
aega_180_260_20_pc0.95_pm0.45_0.08_rw1.5_5,180,260,20,0.95,0.45,0.08,1.5,5,0.269664,0.528923,1.365,0.942
aega_180_260_20_pc0.95_pm0.45_0.08_rw1.5_8,180,260,20,0.95,0.45,0.08,1.5,8,0.561182,0.349392,0.920,0.822
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.0_3,180,260,20,0.95,0.45,0.08,2.0,3,0.417315,0.418533,0.774,0.656
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.0_5,180,260,20,0.95,0.45,0.08,2.0,5,0.558588,0.355785,0.714,0.692
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.0_8,180,260,20,0.95,0.45,0.08,2.0,8,0.561611,0.349171,0.766,0.722
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.5_3,180,260,20,0.95,0.45,0.08,2.5,3,0.275750,0.531278,0.621,0.612
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.5_5,180,260,20,0.95,0.45,0.08,2.5,5,0.157348,0.704366,0.601,0.597
aega_180_260_20_pc0.95_pm0.45_0.08_rw2.5_8,180,260,20,0.95,0.45,0.08,2.5,8,0.699009,0.224445,0.686,0.666
aega_180_260_20_pc0.95_pm0.45_0.08_rw3.0_3,180,260,20,0.95,0.45,0.08,3.0,3,0.563943,0.347472,0.652,0.649
aega_180_260_20_pc0.95_pm0.45_0.08_rw3.0_5,180,260,20,0.95,0.45,0.08,3.0,5,0.702425,0.222620,0.700,0.677
aega_180_260_20_pc0.95_pm0.45_0.08_rw3.0_8,180,260,20,0.95,0.45,0.08,3.0,8,0.561897,0.349662,0.643,0.638
aega_180_260_20_pc0.95_pm0.45_0.10_rw1.5_3,180,260,20,0.95,0.45,0.10,1.5,3,0.520678,0.306046,0.701,0.692
aega_180_260_20_pc0.95_pm0.45_0.10_rw1.5_5,180,260,20,0.95,0.45,0.10,1.5,5,0.702720,0.222946,0.699,0.674
aega_180_260_20_pc0.95_pm0.45_0.10_rw1.5_8,180,260,20,0.95,0.45,0.10,1.5,8,0.443854,0.401784,0.660,0.656
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.0_3,180,260,20,0.95,0.45,0.10,2.0,3,0.373686,0.457772,0.637,0.614
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.0_5,180,260,20,0.95,0.45,0.10,2.0,5,0.781291,0.128622,0.669,0.657
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.0_8,180,260,20,0.95,0.45,0.10,2.0,8,0.563288,0.347245,0.641,0.638
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.5_3,180,260,20,0.95,0.45,0.10,2.5,3,0.561172,0.349086,0.705,0.666
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.5_5,180,260,20,0.95,0.45,0.10,2.5,5,0.561697,0.349147,0.648,0.644
aega_180_260_20_pc0.95_pm0.45_0.10_rw2.5_8,180,260,20,0.95,0.45,0.10,2.5,8,0.559549,0.351268,0.660,0.646
aega_180_260_20_pc0.95_pm0.45_0.10_rw3.0_3,180,260,20,0.95,0.45,0.10,3.0,3,0.702609,0.222892,0.655,0.652
aega_180_260_20_pc0.95_pm0.45_0.10_rw3.0_5,180,260,20,0.95,0.45,0.10,3.0,5,0.702493,0.222942,0.651,0.645
aega_180_260_20_pc0.95_pm0.45_0.10_rw3.0_8,180,260,20,0.95,0.45,0.10,3.0,8,0.702163,0.223099,0.682,0.668
aega_180_260_20_pc0.95_pm0.50_0.08_rw1.5_3,180,260,20,0.95,0.50,0.08,1.5,3,0.556452,0.356540,0.668,0.665
aega_180_260_20_pc0.95_pm0.50_0.08_rw1.5_5,180,260,20,0.95,0.50,0.08,1.5,5,0.702814,0.222689,0.671,0.657
aega_180_260_20_pc0.95_pm0.50_0.08_rw1.5_8,180,260,20,0.95,0.50,0.08,1.5,8,0.677426,0.232732,0.671,0.666
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.0_3,180,260,20,0.95,0.50,0.08,2.0,3,0.702974,0.222721,0.652,0.649
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.0_5,180,260,20,0.95,0.50,0.08,2.0,5,0.703368,0.222521,0.684,0.672
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.0_8,180,260,20,0.95,0.50,0.08,2.0,8,0.343356,0.490745,0.587,0.585
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.5_3,180,260,20,0.95,0.50,0.08,2.5,3,0.327606,0.497593,0.626,0.612
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.5_5,180,260,20,0.95,0.50,0.08,2.5,5,0.702884,0.222699,0.657,0.654
aega_180_260_20_pc0.95_pm0.50_0.08_rw2.5_8,180,260,20,0.95,0.50,0.08,2.5,8,0.702010,0.223820,0.658,0.655
aega_180_260_20_pc0.95_pm0.50_0.08_rw3.0_3,180,260,20,0.95,0.50,0.08,3.0,3,0.561115,0.349183,0.672,0.658
aega_180_260_20_pc0.95_pm0.50_0.08_rw3.0_5,180,260,20,0.95,0.50,0.08,3.0,5,0.721526,0.209607,0.651,0.646
aega_180_260_20_pc0.95_pm0.50_0.08_rw3.0_8,180,260,20,0.95,0.50,0.08,3.0,8,0.702685,0.222710,0.670,0.658
aega_180_260_20_pc0.95_pm0.50_0.10_rw1.5_3,180,260,20,0.95,0.50,0.10,1.5,3,0.560708,0.349872,0.656,0.653
aega_180_260_20_pc0.95_pm0.50_0.10_rw1.5_5,180,260,20,0.95,0.50,0.10,1.5,5,0.702916,0.222506,0.662,0.658
aega_180_260_20_pc0.95_pm0.50_0.10_rw1.5_8,180,260,20,0.95,0.50,0.10,1.5,8,0.444024,0.397693,0.613,0.602
