idx,wolves,iter,fracA_start,fracX_start,accept_worse,stagnation_limit,keep_ratio,hv,igd_plus,wall
98,30,560,0.35,0.25,0.03,20,0.6,0.0,4.060937,1.292
100,30,560,0.35,0.25,0.03,35,0.6,0.0,4.060937,1.337
112,30,560,0.35,0.35,0.08,35,0.6,0.0,4.060937,1.339
104,30,560,0.35,0.25,0.08,35,0.6,0.0,4.060937,1.35
110,30,560,0.35,0.35,0.08,20,0.6,0.0,4.060937,1.383
102,30,560,0.35,0.25,0.08,20,0.6,0.0,4.060937,1.385
111,30,560,0.35,0.35,0.08,35,0.45,0.0,4.060937,1.432
125,30,560,0.45,0.35,0.08,20,0.45,0.0,4.060937,1.442
117,30,560,0.45,0.25,0.08,20,0.45,0.0,4.060937,1.448
123,30,560,0.45,0.35,0.03,35,0.45,0.0,4.060937,1.455
115,30,560,0.45,0.25,0.03,35,0.45,0.0,4.060937,1.475
114,30,560,0.45,0.25,0.03,20,0.6,0.0,4.060937,1.485
122,30,560,0.45,0.35,0.03,20,0.6,0.0,4.060937,1.492
116,30,560,0.45,0.25,0.03,35,0.6,0.0,4.060937,1.574
124,30,560,0.45,0.35,0.03,35,0.6,0.0,4.060937,1.652
118,30,560,0.45,0.25,0.08,20,0.6,0.0,4.060937,1.662
119,30,560,0.45,0.25,0.08,35,0.45,0.0,4.060937,1.672
127,30,560,0.45,0.35,0.08,35,0.45,0.0,4.060937,1.715
126,30,560,0.45,0.35,0.08,20,0.6,0.0,4.060937,1.746
120,30,560,0.45,0.25,0.08,35,0.6,0.0,4.060937,1.749
128,30,560,0.45,0.35,0.08,35,0.6,0.0,4.060937,1.847
30,24,420,0.45,0.35,0.08,20,0.6,0.0,4.097611,0.642
17,24,420,0.45,0.25,0.03,20,0.45,0.0,4.142063,0.551
25,24,420,0.45,0.35,0.03,20,0.45,0.0,4.142063,0.559
19,24,420,0.45,0.25,0.03,35,0.45,0.0,4.142063,0.592
27,24,420,0.45,0.35,0.03,35,0.45,0.0,4.142063,0.604
26,24,420,0.45,0.35,0.03,20,0.6,0.0,4.142063,0.624
18,24,420,0.45,0.25,0.03,20,0.6,0.0,4.142063,0.638
22,24,420,0.45,0.25,0.08,20,0.6,0.0,4.142063,0.677
20,24,420,0.45,0.25,0.03,35,0.6,0.0,4.142063,0.679
28,24,420,0.45,0.35,0.03,35,0.6,0.0,4.142063,0.705
51,24,560,0.45,0.25,0.03,35,0.45,0.0,4.142063,1.158
59,24,560,0.45,0.35,0.03,35,0.45,0.0,4.142063,1.205
54,24,560,0.45,0.25,0.08,20,0.6,0.0,4.142063,1.231
56,24,560,0.45,0.25,0.08,35,0.6,0.0,4.142063,1.314
55,24,560,0.45,0.25,0.08,35,0.45,0.0,4.142063,1.365
11,24,420,0.35,0.35,0.03,35,0.45,0.0,29.933027,0.841
7,24,420,0.35,0.25,0.08,35,0.45,0.0,29.933027,0.847
12,24,420,0.35,0.35,0.03,35,0.6,0.0,29.933027,0.862
9,24,420,0.35,0.35,0.03,20,0.45,0.0,29.933027,0.87
8,24,420,0.35,0.25,0.08,35,0.6,0.0,29.933027,0.874
16,24,420,0.35,0.35,0.08,35,0.6,0.0,29.933027,0.877
3,24,420,0.35,0.25,0.03,35,0.45,0.0,29.933027,0.878
1,24,420,0.35,0.25,0.03,20,0.45,0.0,29.933027,0.881
15,24,420,0.35,0.35,0.08,35,0.45,0.0,29.933027,0.896
4,24,420,0.35,0.25,0.03,35,0.6,0.0,29.933027,0.934
34,24,560,0.35,0.25,0.03,20,0.6,0.0,29.933027,1.434
36,24,560,0.35,0.25,0.03,35,0.6,0.0,29.933027,1.458
38,24,560,0.35,0.25,0.08,20,0.6,0.0,29.933027,1.459
40,24,560,0.35,0.25,0.08,35,0.6,0.0,29.933027,1.479
46,24,560,0.35,0.35,0.08,20,0.6,0.0,29.933027,1.515
44,24,560,0.35,0.35,0.03,35,0.6,0.0,29.933027,1.522
48,24,560,0.35,0.35,0.08,35,0.6,0.0,29.933027,1.575
42,24,560,0.35,0.35,0.03,20,0.6,0.0,29.933027,1.599
